universidade;curso;campus;turno/grau;redacao;ciencias humanas;ciencias da natureza;linguagens e codigos;matematica;soma pesos;nota corte
UFG;ENGENHARIA DE PRODUÇÃO;Campus Aparecida de Goiânia;Integral (Bacharelado);1,5;1;2,5;2;3;10;747,75
UFG;DIREITO;Câmpus Goiás;Noturno (Bacharelado);2,5;2;1;2,5;2;10;748,55
UFG;ODONTOLOGIA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);2;1,5;3;2;1,5;10;750,18
UFG;ENGENHARIA DE COMPUTAÇÃO;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);1,5;1;2,5;2;3;10;753,33
UFG;FÍSICA MÉDICA;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;754,97
UFG;ARQUITETURA E URBANISMO;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;756,34
UFG;ENGENHARIA MECÂNICA;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;758,3
UFG;RELAÇÕES INTERNACIONAIS;Câmpus Samambaia;Matutino (Bacharelado);2,5;2;1;2,5;2;10;760
UFG;ENGENHARIA QUÍMICA;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;761,47
UFG;PSICOLOGIA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);2,5;2;1;2,5;2;10;773,96
UFG;DIREITO;Câmpus Colemar Natal e Silva (Goiânia);Matutino (Bacharelado);2,5;2;1;2,5;2;10;777,7
UFG;DIREITO;Câmpus Colemar Natal e Silva (Goiânia);Noturno (Bacharelado);2,5;2;1;2,5;2;10;782,27
UFG;SISTEMAS DE INFORMAÇÃO;Câmpus Samambaia;Noturno (Bacharelado);2;1;1;2;4;10;792,78
UFG;CIÊNCIA DA COMPUTAÇÃO;Câmpus Samambaia;Integral (Bacharelado);2;1;1;2;4;10;805,56
UFG;MEDICINA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);2;1,5;3;2;1,5;10;810,39
UFG;ENGENHARIA DE SOFTWARE;Câmpus Samambaia;Noturno (Bacharelado);2;1;1;2;4;10;815,83
UFG;INTELIGÊNCIA ARTIFICIAL;Câmpus Samambaia;Integral (Bacharelado);2;1;1;2;4;10;832,95
UFMG;CIÊNCIAS DA NATUREZA E MATEMÁTICA;Câmpus Pampulha;Noturno (Licenciatura);1;1;1;1;1;5;634,46
UFMG;AQUACULTURA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;647,52
UFMG;ARQUIVOLOGIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;651,26
UFMG;MUSEOLOGIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;655,7
UFMG;BIBLIOTECONOMIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;660,38
UFMG;TURISMO;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;663,34
UFMG;GESTÃO DE SERVIÇOS DE SAÚDE;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;664,78
UFMG;BIBLIOTECONOMIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;665,74
UFMG;ZOOTECNIA;Câmpus Pampulha;Matutino (Bacharelado);1;1;1;1;1;5;665,84
UFMG;RADIOLOGIA;Câmpus Pampulha;Noturno (Bacharelado);1;1;1;1;1;5;669,58
